Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Acetophen,Antiseptic,Capsule,62 mg,Eli Lilly and Company,Depression,Prescription
Cefprofen,Antidiabetic,Ointment,425 mg,Amgen Inc.,Infection,Prescription
Cefmycin,Antiviral,Syrup,127 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Cefprofen,Antibiotic,Cream,929 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Clariprofen,Antidepressant,Tablet,220 mg,Bayer AG,Diabetes,Prescription
Cefvir,Antiseptic,Injection,998 mg,Biogen Inc.,Virus,Prescription
Cefmet,Antidepressant,Drops,740 mg,Johnson & Johnson,Virus,Prescription
Metonazole,Antidiabetic,Inhaler,476 mg,Johnson & Johnson,Pain,Prescription
Ibupromet,Antiviral,Inhaler,413 mg,Novartis AG,Pain,Prescription
Ibuprovir,Antidepressant,Drops,725 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Metoprofen,Antifungal,Syrup,506 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Amoxiphen,Antifungal,Cream,391 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Amoxivir,Antipyretic,Injection,137 mg,Bayer AG,Virus,Over-the-Counter
Metomet,Analgesic,Drops,600 mg,Novartis AG,Infection,Prescription
Acetostatin,Antibiotic,Cream,400 mg,Pfizer Inc.,Pain,Over-the-Counter
Clarivir,Antiseptic,Ointment,76 mg,GlaxoSmithKline plc,Pain,Prescription
Clariphen,Antidiabetic,Ointment,798 mg,Bayer AG,Virus,Over-the-Counter
Ibuproprofen,Analgesic,Cream,739 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Cefcillin,Antibiotic,Tablet,415 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Ibupronazole,Antiviral,Tablet,909 mg,AstraZeneca plc,Depression,Prescription
Amoximet,Antiseptic,Capsule,221 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
